id,Key,ko,en,ja,zh-CN,id,ru,pt,uk
1,test,"테스트,그리고테스트

나아라!


구아아아아악",test,"テストとテスト

OK！


グアハ","测试和测试

好的！


瓜哈","Tes dan tes

OKE!


Guatah","Тест и тест

ХОРОШО!


Гухах","Teste e teste

OK!


Guahah","Випробування, і випробування, і випробування.

Давай!


Guaaaahhhhhh"
1,LanguageNotice,언어는 앱을 재시작해야 적용됩니다.,Languages will not take effect until you restart the app.,言語は、アプリを再起動することによってのみ適用されます。,语言将在重新启动应用程序后生效。,Bahasa diterapkan hanya dengan memulai kembali aplikasi.,Язык применяется только путем перезапуска приложения.,O idioma é aplicado apenas reiniciando o aplicativo.,"Мова не набуде чинності, доки додаток не буде перезапущено."
2,Common Apply,적용,Apply,適用,应用,menerapkan,применять,aplicar,Застосувати
3,Common Default,초기화,Default,リセット,默认,mengatur ulang,перезагрузить,reiniciar,Ініціалізувати
4,Common HotKey Clear,단축키 비우기,Clear Hot Key,空を空にする,清除热键,Mengosongkan pintasan,Опорный ярлык,Esvaziando atalhos,Очистити ярлики
5,Common File Select,파일선택,Select File,ファイルの選択,选择文件,Pemilihan file,Выбор файла,Seleção de arquivos,Вибрати файли
,Common Clear All,모두 해제,Release All,すべてリリース,清除所有,Semua rilis,Весь релиз,Toda a liberação,Очистити все
,Common Selact All,모두 선택,Select All,すべて選択,全选,Pilih Semua,Выбрать все,Selecionar tudo,Вибрати все
,Common Preview,미리보기,Preview,プレビュー,预览,Pratinjau,Предварительный просмотр,Visualização,Попередній перегляд
,Language ETC,기타,ETC,等,其它,dll.,и т. д.,etc.,其他
,AUTO,자동,Auto,自動,自动,otomatis,автоматический,automático,自動
언어코드 번역,en,영어,English,英語,英语,bahasa inggris,английский,inglês,англійська
,ja,일본어,Japanese,日本,日语,Jepang,Японский,japonês,Японська
,zh-CN,중국어 간체,Simplified Chinese,中国語,简体中文,Cina,Китайский,chinês,Спрощена китайська
,zh-TW,중국어 번체,Traditional Chinese,繁体字中国語,繁体中文,Cina tradisional,Традиционный китайский,Chinês tradicional,Традиційна китайська
,ch_sim,중국어 간체,Simplified Chinese,中国語,简体中文,Cina,Китайский,chinês,Спрощена китайська
,ch_tra,중국어 번체,Traditional Chinese,繁体字中国語,繁体中文,Cina tradisional,Традиционный китайский,Chinês tradicional,Традиційна китайська
,es,스페인어,Spanish,スペイン語,西班牙语,Orang Spanyol,испанский,Espanhol,Іспанська
,fr,프랑스어,French,フランス語,法语,Perancis,Французский,Francês,Французька
,vi,베트남어,Vietnamese,ベトナム人,越南语,Orang Vietnam,вьетнамский,vietnamita,В'єтнамська
,th,태국어,Thai,タイ,泰语,Thai,Тайский,tailandês,тайська
,id,인도네시아어,Indonesian,インドネシア語,印尼语,bahasa Indonesia,индонезийский,indonésio,Індонезійська
,ko,한국어,Korean,韓国語,韩语,Korea,Корейский,coreano,корейська
,ru,러시아어,Russian,ロシア,俄语,Rusia,Русский,russo,російська
,de,독일어,German,ドイツ人,德语,Jerman,Немецкий,Alemão,німецька
,pt-BR,브라질어,Brazilian,ブラジル人,巴西语,Brazil,Бразилец,Brasileiro,Португальська
,pt-PT,포르투칼어,Portugal,ポルトガル語,葡萄牙语,Portugis,португальский,Português,Португальська
,tr,터키어,Turkish,トルコ語,土耳其语,Turki,турецкий,turco,Португальська
,it,이탈리아어,Italian,イタリアの,意大利语,Italia,Итальянский,italiano,Італійська
,pl,폴란드어,Polish,研磨,波兰语,Polandia,Лак,polonês,Польська
,ar,아랍어,Arabic,アラビア語,阿拉伯语,Arab,арабский,árabe,арабська
,hu,헝가리어,Hungarian,ハンガリー,匈牙利,Hongaria,Венгерский,húngaro,Угорська
,uk,우크라이나어,Ukrainian,ウクライナ人,乌克兰,Orang Ukraina,украинец,ucraniano,Українська
번역 타입,TRANSLATE GOOGLE,기본 번역기(구글),Basic (Google),基本翻訳者（Google）,Basic（Google）,Penerjemah Dasar (Google),Основной переводчик (Google),Tradutor básico (Google),Базовий перекладач (Google)
,TRANSLATE DEEPL,DeepL 번역기,DeepL,DeepL,DeepL,DeepL,DeepL,DeepL,Двомовний перекладач
,TRANSLATE DB,DB - 파일로 불러오기,DB - From File,db-ファイルとしてのロード,DB - 从文件,Db -loading sebagai file,DB -загрузка как файл,DB -Carregamento como um arquivo,База даних - імпорт до файлу
,TRANSLATE NAVER ,네이버 번역기(파파고),Naver (Papago),Naver翻訳者（パパゴ）,Naver（Papago）,Penerjemah Naver (Papago),Naver Translator (Papago),Tradutor Naver (Papago),Перекладач навігатора (Papago)
,TRANSLATE GOOGLE SHEET,구글 시트 번역기,Google Sheet,Googleシート翻訳者,Google 表格,Penerjemah Google Sheet,Google Sheet Translator,Tradutor do Google Sheet,Перекладач Google Таблиць
,TRANSLATE EZTRANS,이지트랜스(일본어전용),EzTrans(Japanese),イージートロピン（日本語 - のみ）,EzTrans（日语）,Easy Trospin (Jepang -Nanya),Легкий Тропин (только японский),TROSPINA FÁCIL (japonês -apenas),EasyTrans (лише для японської)
,TRANSLATE CUSTOM API,커스텀 API,Custom API,カスタムAPI,自定义API,API Kustom,Пользовательский API,API personalizada,Користувацькі API
,Basic Translate Info,"구글 기본 번역기의 고품질 번역은 시간당 100회까지만 적용되며
초과시 낮은 품질로 번역됩니다.",High quality translations of Google's default translators are only applied up to 100 times per hour and translated into low quality when exceeded.,"Googleのデフォルト翻訳者の高品質の翻訳は、1時間あたり最大100回のみ適用されます。
超えた場合、低品質に翻訳されます。",Google的默认翻译器的高质量翻译每小时只能使用100次，在超出时将转换为低质量翻译。,"Terjemahan berkualitas tinggi dari penerjemah default Google hanya diterapkan hingga 100 kali per jam.
Itu diterjemahkan ke kualitas rendah saat terlampaui.","Высококачественный перевод переводчика Google по умолчанию применяется только до 100 раз в час.
Это переводится в низкое качество при превышении.","A tradução de alta qualidade do tradutor padrão do Google é aplicada apenas até 100 vezes por hora.
É traduzido em baixa qualidade quando excedido.","Високоякісні переклади з перекладача Google за замовчуванням застосовуються лише до 100 разів на годину.
Якщо кількість перевищується, переклад буде виконано з нижчою якістю."
,Basic Translation Status High,상태 : 고품질,Status: high quality,ステータス：高品質,状态：高质量,Status: Kualitas Tinggi,Статус: высокое качество,Status: alta qualidade,Статус: Висока якість
,Basic Translation Status Low,상태 : 저품질,Status: low quality,ステータス：低品質,状态：低质量,Status: Kualitas Rendah,Статус: низкое качество,Status: baixa qualidade,Статус : Низька якість
,Papago ID,ID 키 :,ID key:,IDキー：,ID Key：,Kunci ID:,ID key:,Chave de identificação:,Ідентифікаційний ключ :
,Papago Secret,Secret 키 :,Secret key:,秘密の鍵：,密钥：,Kunci rahasia:,Secret key:,Chave secreta:,Секретний ключ:
,Key Manage,키 관리,"Key
management",キー管理,密钥管理器,"Manajemen
kunci","Ключевой 
менеджмент",Gerenciamento -chave,Керування ключами
,Sheet Address,시트 주소,Sheet address,シートアドレス,表地址,Alamat lembar,Листовый адрес,Endereço da folha,Адреса місця
,Sheet ID,Client ID,Client ID,クライアントID,客户端ID,ID Klien,ID клиента,ID do Cliente,Ідентифікатор клієнта
,Sheet Secret,Secret 키,Secret key,秘密の鍵,密钥,Kunci rahasia,Секретный ключ,Chave secreta,Секретний ключ
,Clear Sheet Toekn,"모든 인증
초기화","Clear
Token","すべての認証
リセット","清除
Token","Semua otentikasi
mengatur ulang","Вся аутентификация
перезагрузить","Toda autenticação
reiniciar","Скинути всю автентифікацію
Скинути"
,EzTrans Info,"일본어 전용
ezTrans XP가 설치 되어 있어야 합니다.
자세한 사용법은 번역 설정 도움말을 확인해 주세요.","Japanese only
Eztrans XP must be installed.
For more information, please check the help.","日本のみ
Eztrans XPをインストールする必要があります。
詳細については、ヘルプを確認してください。","仅限日语
需要安装ezTrans XP。
关于如何使用它的更多信息，请查看翻译设置帮助。","Hanya orang Jepang
Eztrans XP harus dipasang.
Untuk informasi lebih lanjut, silakan periksa bantuannya.","Только японский
EzTrans XP должен быть установлен.
Для получения дополнительной информации, пожалуйста, проверьте помощь.","Apenas japonês
Eztrans XP deve ser instalado.
Para mais informações, verifique a ajuda.","Тільки для японської мови
У вас має бути встановлений ezTrans XP.
Будь ласка, зверніться до довідки з налаштування перекладу для отримання детальної інформації."
,Common File Name,파일 이름,File name,ファイル名,文件名,Nama file,Имя файла,Nome do arquivo,Ім'я файлу
,DB Check String Upper,DB 검색 시 대소문자 구분 안 함,I can't distinguish the characters when searching for DB,DBを検索するときに文字を区別することはできません,搜索 DB 时不区分大小写,Saya tidak dapat membedakan antara karakter saat mencari DB,Я не могу различать символы при поиске БД,Não consigo distinguir entre os personagens ao procurar DB,Пошук в БД без урахування регістру
,DB Multi Line,DB 부분 일치 검색 - 문장과 부분 일치한 번역문 모두 가져오기,DB part match search -import both sentences and partial translations,DBパーツマッチ検索 - 文と部分的な翻訳の両方のインマポート,部分匹配搜索 DB - 获取与句子部分匹配的所有翻译文本,DB PART MATCH Pencarian -Import kedua kalimat dan terjemahan parsial,"DB Part Match Search -Import Как предложения, так и частичные переводы",Pesquisa de correspondência de parte do banco de dados -Importação de frases e traduções parciais,"Пошук часткового збігу в БД - отримати як речення, так і частково збіглий переклад"
,Use Dic,교정사전 사용,Priority of correction,修正の予備的使用,使用校对词典,Penggunaan koreksi awal,корректорского словаря,Uso preliminar da correção,Використання коректурного словника
,Use Per Word Dic,단어 단위로 교정 (완벽히 일치한 단어만 교정),Correction in words (only correct words correction),単語の修正（完全に一貫している単語の修正のみ）,单词级校正（仅校正完全匹配的单词）,Koreksi dalam kata (hanya koreksi kata yang sangat konsisten),"Коррекция в словах (только исправление слов, которые совершенно последовательны)",Correção em palavras (apenas correção de palavras que são perfeitamente consistentes),"Послівне виправлення (виправляються лише слова, що повністю збігаються)"
,Translation Type,번역 방법,Type,翻訳,翻译方法,Terjemahan,Перевод,Tradução,Методи перекладу
,Extract by RGB,RGB로 추출,Extract by RGB,RGBで抽出します,通过 RGB 提取,Ekstrak dengan RGB,Выдержка с RGB,Extraia com RGB,Витягнути в RGB
,Extract by HSV,HSV로 추출,Extract by HSV,HSVで抽出します,通过 HSV 提取,Ekstrak oleh HSV,Выдержка с HSV,Extrato por HSV,Виділення в HSV
